step,observation,action,reward,done,total_reward
0,"You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
1,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Do,0.0,False,0.0
2,"You took action do.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
3,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
4,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Do,1.0,False,1.0
5,"You took action do.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Wood Pickaxe,0.0,False,1.0
6,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Do,0.0,False,1.0
7,"You took action do.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Wood Pickaxe,0.0,False,1.0
8,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Wood Pickaxe,0.0,False,1.0
9,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- arrow 4 steps to your east

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Wood Pickaxe,0.0,False,1.0
10,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- arrow 3 steps to your east

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Wood Pickaxe,0.0,False,1.0
11,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- cow 4 steps to your north-east
- arrow 2 steps to your east

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Stone Pickaxe,0.0,False,1.0
12,"You took action make_stone_pickaxe.

You see:
- grass 1 steps to your west
- cow 4 steps to your north-east
- arrow 1 steps to your east

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Stone Pickaxe,-0.2,False,0.8
13,"You took action make_stone_pickaxe.

You see:
- grass 1 steps to your west
- cow 4 steps to your north-east

You face grass at your front.

Your status:
- health: 7/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Stone Pickaxe,0.0,False,0.8
14,"You took action make_stone_pickaxe.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 7/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Stone Pickaxe,0.0,False,0.8
15,"You took action make_stone_pickaxe.

You see:
- grass 1 steps to your west

You face grass at your front.

Your status:
- health: 7/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Stone Pickaxe,0.0,False,0.8
16,"You took action make_stone_pickaxe.

You see:
- grass 1 steps to your west
- skeleton 4 steps to your east

You face grass at your front.

Your status:
- health: 7/9
- food: 9/9
- drink: 9/9
- energy: 9/9

Your inventory:
- sapling: 1",Make Stone Pickaxe,0.0,False,0.8
