step,observation,action,reward,done,total_reward
0,"You see:
- grass 1 steps to your west
- tree 7 steps to your north-east
- cow 6 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
1,"You took action move_west.

You see:
- grass 1 steps to your west
- tree 4 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
2,"You took action move_west.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Do,0.0,False,0.0
3,"You took action do.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
4,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
5,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
6,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Sword,0.0,False,0.0
7,"You took action make_iron_sword.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Do,0.0,False,0.0
8,"You took action do.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
9,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Wood Pickaxe,0.0,False,0.0
10,"You took action make_wood_pickaxe.

You see:
- grass 1 steps to your west
- tree 3 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
11,"You took action move_west.

You see:
- water 6 steps to your south-west
- grass 1 steps to your west
- sand 5 steps to your south-west
- tree 2 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
12,"You took action make_iron_pickaxe.

You see:
- water 6 steps to your south-west
- grass 1 steps to your west
- sand 5 steps to your south-west
- tree 2 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
13,"You took action make_iron_pickaxe.

You see:
- water 6 steps to your south-west
- grass 1 steps to your west
- sand 5 steps to your south-west
- tree 2 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
14,"You took action make_iron_pickaxe.

You see:
- water 6 steps to your south-west
- grass 1 steps to your west
- sand 5 steps to your south-west
- tree 2 steps to your north-west

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Move West,0.0,False,0.0
15,"You took action move_west.

You see:
- water 4 steps to your west
- grass 1 steps to your west
- sand 4 steps to your south-west
- tree 1 steps to your north

You face grass at your front.

Your status:
- health: 9/9
- food: 9/9
- drink: 9/9
- energy: 9/9

You have nothing in your inventory.",Make Iron Pickaxe,0.0,False,0.0
